MATCH_ID,TIME,JOGADOR,AF_VALOR
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,GARRO,1.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,BRENO BIDON,1.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,ZÉ RAFAEL,2.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,JOÃO SCHMIDT,2.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,MATHEUS PEREIRA,3.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,GUSTAVO HENRIQUE,1.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,FAGNER,1.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,SAMUEL LINO,2.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,ERICK PULGAR,1.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,EVERTON,4.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,LÉO PEREIRA,2.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,BORRÉ,3.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,ALLAN,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,ALESSON,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,WILLIAN MACHADO,1.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,KAIO JORGE,1.0
2026-01-30|MIRASSOL|VASCO,VASCO,JOHAN ROJAS,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,SEBASTIÁN GÓMEZ,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,JOSUÉ,1.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,MIGUELITO,5.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,PEDRO ROCHA,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,VICTOR HUGO,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,IGOR FORMIGA,1.0
2026-01-30|FLUMINENSE|GRÊMIO,GRÊMIO,TETÊ,2.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,MAYCON,1.0
2026-01-30|VITÓRIA|REMO,REMO,PATRICK,3.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,ATHLETICO-PR,ZAPELLI,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,MARCELINHO,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,HULK,2.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,GERSON,1.0
2026-01-30|VITÓRIA|REMO,REMO,DODÔ,1.0
2026-01-30|VITÓRIA|REMO,REMO,GIOVANNI PAVANI,1.0
2026-01-30|VITÓRIA|REMO,REMO,JOÃO LUCAS,1.0
2026-01-30|VITÓRIA|REMO,REMO,PATRICK DE PAULA,2.0
2026-01-30|VITÓRIA|REMO,REMO,EDUARDO MELO,1.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,YURI ALBERTO,3.0
2026-01-30|SÃO PAULO|FLAMENGO,SÃO PAULO,LUCIANO,1.0
2026-01-30|FLUMINENSE|GRÊMIO,FLUMINENSE,LUCHO ACOSTA,2.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,LUCAS RONIER,1.0
2026-01-30|CORINTHIANS|BAHIA,BAHIA,EVERTON RIBEIRO,2.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,KAIKI BRUNO,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,REINALDO,2.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,JACY,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,EDUARDO,1.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,BERNABÉI,3.0
2026-01-30|CHAPECOENSE|SANTOS,CHAPECOENSE,ÍTALO,1.0
2026-01-30|CHAPECOENSE|SANTOS,CHAPECOENSE,ROBERT,1.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,BARREAL,1.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,BRUNO HENRIQUE,1.0
2026-01-30|VITÓRIA|REMO,VITÓRIA,CANTALAPIEDRA,1.0
2026-01-30|FLUMINENSE|GRÊMIO,FLUMINENSE,MARTINELLI,1.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,ALAN PATRICK,3.0
2026-01-30|VITÓRIA|REMO,VITÓRIA,DUDU,2.0
2026-01-30|VITÓRIA|REMO,VITÓRIA,MATEUS SILVA,1.0
2026-01-30|VITÓRIA|REMO,REMO,ALEF MANGA,1.0
2026-01-30|VITÓRIA|REMO,VITÓRIA,RAMON,2.0
2026-01-30|VITÓRIA|REMO,VITÓRIA,BARALHAS,2.0
2026-01-30|MIRASSOL|VASCO,VASCO,ROBERT RENAN,1.0
2026-01-30|VITÓRIA|REMO,VITÓRIA,RENATO KAYZER,3.0
2026-01-30|MIRASSOL|VASCO,VASCO,ANDREY FERNANDES,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,RUAN,1.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,ATHLETICO-PR,MENDOZA,2.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,ATHLETICO-PR,JULIMAR,1.0
2026-01-30|MIRASSOL|VASCO,VASCO,PHILIPPE COUTINHO,3.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,VILLAGRA,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,EVERTON GALDINO,1.0
2026-01-30|VITÓRIA|REMO,VITÓRIA,ERICK,1.0
2026-02-06|CRUZEIRO|CORITIBA,CRUZEIRO,LUCAS ROMERO,3.0
2026-02-06|CRUZEIRO|CORITIBA,CRUZEIRO,FAGNER,3.0
2026-02-06|GRÊMIO|BOTAFOGO,GRÊMIO,MARLON,3.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,ANDRÉS HURTADO,2.0
2026-02-06|BAHIA|FLUMINENSE,BAHIA,EVERTON RIBEIRO,2.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,ATLÉTICO-MG,IGOR GOMES,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,ATLÉTICO-MG,GUSTAVO SCARPA,1.0
2026-02-06|CRUZEIRO|CORITIBA,CRUZEIRO,MATHEUS PEREIRA,4.0
2026-02-06|BAHIA|FLUMINENSE,FLUMINENSE,SAMUEL XAVIER,1.0
2026-02-06|GRÊMIO|BOTAFOGO,GRÊMIO,PAVÓN,1.0
2026-02-06|FLAMENGO|INTERNACIONAL,FLAMENGO,EVERTTON ARAÚJO,1.0
2026-02-06|FLAMENGO|INTERNACIONAL,FLAMENGO,ARRASCAETA,5.0
2026-02-06|FLAMENGO|INTERNACIONAL,FLAMENGO,BRUNO HENRIQUE,1.0
2026-02-06|FLAMENGO|INTERNACIONAL,FLAMENGO,LÉO PEREIRA,2.0
2026-02-06|FLAMENGO|INTERNACIONAL,INTERNACIONAL,BORRÉ,1.0
2026-02-06|CRUZEIRO|CORITIBA,CRUZEIRO,MATHEUS HENRIQUE,1.0
2026-02-06|GRÊMIO|BOTAFOGO,BOTAFOGO,DANILO,2.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,GABRIEL,2.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,IGNACIO SOSA,2.0
2026-02-06|CRUZEIRO|CORITIBA,CORITIBA,BRUNO MELO,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,HENRY MOSQUERA,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,GUSTAVINHO,1.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,LUCAS BARBOSA,2.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,ALIX VINICIUS,1.0
2026-02-06|CRUZEIRO|CORITIBA,CORITIBA,VINI PAULISTA,1.0
2026-02-06|CRUZEIRO|CORITIBA,CORITIBA,LUCAS RONIER,2.0
2026-02-06|RED BULL BRAGANTINO|ATLÉTICO-MG,RED BULL BRAGANTINO,JUNINHO CAPIXABA,1.0
2026-02-06|BAHIA|FLUMINENSE,FLUMINENSE,NONATO,2.0
2026-02-06|PALMEIRAS|VITÓRIA,VITÓRIA,MATEUS SILVA,1.0
2026-02-06|PALMEIRAS|VITÓRIA,VITÓRIA,RAMON,1.0
2026-02-06|PALMEIRAS|VITÓRIA,PALMEIRAS,FLACO LÓPEZ,1.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,THIAGO MENDES,3.0
2026-02-06|PALMEIRAS|VITÓRIA,PALMEIRAS,MAURÍCIO,1.0
2026-02-06|PALMEIRAS|VITÓRIA,PALMEIRAS,MARLON FREITAS,2.0
2026-02-06|SANTOS|SÃO PAULO,SANTOS,ROLLHEISER,2.0
2026-02-06|SANTOS|SÃO PAULO,SÃO PAULO,CALLERI,2.0
2026-02-06|SANTOS|SÃO PAULO,SANTOS,LUAN PERES,1.0
2026-02-06|SANTOS|SÃO PAULO,SANTOS,JOÃO SCHMIDT,2.0
2026-02-06|SANTOS|SÃO PAULO,SÃO PAULO,BOBADILLA,2.0
2026-02-06|REMO|MIRASSOL,MIRASSOL,NEGUEBA,1.0
2026-02-06|REMO|MIRASSOL,MIRASSOL,JOÃO VICTOR,1.0
2026-02-06|PALMEIRAS|VITÓRIA,VITÓRIA,BARALHAS,1.0
2026-02-06|GRÊMIO|BOTAFOGO,GRÊMIO,EDENÍLSON,1.0
2026-02-06|PALMEIRAS|VITÓRIA,VITÓRIA,CANTALAPIEDRA,2.0
2026-02-06|BAHIA|FLUMINENSE,FLUMINENSE,JOHN KENNEDY,3.0
2026-02-06|PALMEIRAS|VITÓRIA,VITÓRIA,MATHEUZINHO,1.0
2026-02-06|BAHIA|FLUMINENSE,FLUMINENSE,CANOBBIO,1.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,NUNO MOREIRA,3.0
2026-02-06|GRÊMIO|BOTAFOGO,GRÊMIO,ARTHUR MELO,2.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,PUMA RODRÍGUEZ,2.0
2026-02-06|FLAMENGO|INTERNACIONAL,INTERNACIONAL,BRUNO GOMES,1.0
2026-02-06|FLAMENGO|INTERNACIONAL,INTERNACIONAL,CARBONERO,1.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,LUCAS PITON,1.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,ANDRÉS GÓMEZ,2.0
2026-02-06|BAHIA|FLUMINENSE,FLUMINENSE,GANSO,1.0
2026-02-06|VASCO|CHAPECOENSE,VASCO,BARROS,1.0
2026-02-06|REMO|MIRASSOL,MIRASSOL,EVERTON GALDINO,1.0
2026-02-06|CRUZEIRO|CORITIBA,CRUZEIRO,KAIO JORGE,2.0
2026-02-06|PALMEIRAS|VITÓRIA,PALMEIRAS,VITOR ROQUE,2.0
