MATCH_ID,TIME,JOGADOR,AF_VALOR
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,RED BULL BRAGANTINO,FABINHO,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CORINTHIANS,CARRILLO,2.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,GUSTAVO MARTINS,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,SANTI MORENO,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,IGOR GOMES,1.0
2026-02-17|FLUMINENSE|BOTAFOGO,BOTAFOGO,EDENÍLSON,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CORINTHIANS,GARRO,3.0
2026-03-03|CRUZEIRO|CORINTHIANS,CORINTHIANS,RANIELE,1.0
2026-02-17|FLUMINENSE|BOTAFOGO,BOTAFOGO,ALEX TELLES,1.0
2026-02-17|FLUMINENSE|BOTAFOGO,BOTAFOGO,DANILO,1.0
2026-02-17|FLUMINENSE|BOTAFOGO,BOTAFOGO,BARRERA,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,RED BULL BRAGANTINO,EDUARDO SASHA,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,VIVEROS,2.0
2026-02-17|CHAPECOENSE|CORITIBA,CHAPECOENSE,WALTER CLAR,2.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,SABINO,2.0
2026-02-17|CHAPECOENSE|CORITIBA,CHAPECOENSE,MARCINHO,1.0
2026-02-17|MIRASSOL|CRUZEIRO,MIRASSOL,EDUARDO,1.0
2026-02-17|MIRASSOL|CRUZEIRO,MIRASSOL,IGOR FORMIGA,2.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,MENDOZA,2.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,ZAPELLI,4.0
2026-02-17|CHAPECOENSE|CORITIBA,CHAPECOENSE,JEAN CARLOS,4.0
2026-03-03|SANTOS|VASCO,VASCO,PUMA RODRÍGUEZ,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,ENAMORADO,2.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,JOSUÉ,5.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,BRUNO MELO,2.0
2026-02-17|VASCO|BAHIA,BAHIA,LUCIANO JUBA,1.0
2026-02-17|VASCO|BAHIA,BAHIA,EVERTON RIBEIRO,3.0
2026-02-17|CHAPECOENSE|CORITIBA,CHAPECOENSE,EVERTON,2.0
2026-03-03|REMO|INTERNACIONAL,REMO,PICCO,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,BENAVÍDEZ,3.0
2026-02-17|MIRASSOL|CRUZEIRO,MIRASSOL,NEGUEBA,2.0
2026-02-17|MIRASSOL|CRUZEIRO,MIRASSOL,NATHAN FOGAÇA,2.0
2026-02-17|MIRASSOL|CRUZEIRO,MIRASSOL,ALDO FILHO,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,JULIMAR,3.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,ARTHUR DIAS,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,DUDU,1.0
2026-03-03|SANTOS|VASCO,SANTOS,ROLLHEISER,1.0
2026-03-03|SANTOS|VASCO,VASCO,BRENNER,3.0
2026-03-03|SANTOS|VASCO,SANTOS,VINICIUS LIRA,1.0
2026-03-03|SANTOS|VASCO,VASCO,MARINO HINESTROZA,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,TERÁN,1.0
2026-03-03|REMO|INTERNACIONAL,REMO,VITOR BUENO,3.0
2026-03-03|SANTOS|VASCO,SANTOS,IGOR VINÍCIUS,2.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,PRECIADO,1.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,LUAN,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,LUIZ GUSTAVO,2.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,LÉO DERIK,2.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,FELIPE CHIQUETI,2.0
2026-03-03|CRUZEIRO|CORINTHIANS,CORINTHIANS,ALLAN,2.0
2026-02-17|VITÓRIA|FLAMENGO,FLAMENGO,EVERTON,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,GUGA,4.0
2026-03-03|REMO|INTERNACIONAL,REMO,DIEGO HERNÁNDEZ,2.0
2026-03-03|CRUZEIRO|CORINTHIANS,CORINTHIANS,MATHEUS BIDU,2.0
2026-03-03|SANTOS|VASCO,VASCO,PAULO HENRIQUE,2.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,ALAN RODRÍGUEZ,1.0
2026-03-03|SANTOS|VASCO,SANTOS,THACIANO,2.0
2026-03-03|SANTOS|VASCO,SANTOS,MOISÉS,1.0
2026-03-03|REMO|INTERNACIONAL,INTERNACIONAL,KAYKY,1.0
2026-03-03|SANTOS|VASCO,VASCO,DAVID,1.0
2026-02-17|CHAPECOENSE|CORITIBA,CHAPECOENSE,GARCEZ,2.0
2026-03-03|SANTOS|VASCO,VASCO,SPINELLI,1.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,FERREIRA,2.0
2026-02-17|VITÓRIA|FLAMENGO,VITÓRIA,ERICK,3.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,ESQUIVEL,5.0
2026-02-17|VITÓRIA|FLAMENGO,FLAMENGO,ARRASCAETA,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,ATLÉTICO-MG,CISSÉ,1.0
2026-02-17|VITÓRIA|FLAMENGO,VITÓRIA,DUDU,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,SAVARINO,1.0
2026-02-17|VITÓRIA|FLAMENGO,VITÓRIA,MATHEUZINHO,1.0
2026-03-03|CORITIBA|SÃO PAULO,CORITIBA,FELIPE JONATAN,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,FLUMINENSE,SOTELDO,2.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,VIERY,1.0
2026-03-03|RED BULL BRAGANTINO|ATHLETICO-PR,ATHLETICO-PR,JOÃO CRUZ,2.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,LUCAS RAMON,1.0
2026-03-03|SANTOS|VASCO,SANTOS,NEYMAR,2.0
2026-03-03|CRUZEIRO|CORINTHIANS,CORINTHIANS,ANGILERI,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,GABRIEL MEC,1.0
2026-03-03|REMO|INTERNACIONAL,REMO,CUFRÉ,1.0
2026-03-03|PALMEIRAS|FLUMINENSE,PALMEIRAS,ARIAS,2.0
2026-03-03|CORITIBA|SÃO PAULO,SÃO PAULO,CAULY,3.0
2026-02-17|VITÓRIA|FLAMENGO,FLAMENGO,EMERSON ROYAL,1.0
2026-02-17|CHAPECOENSE|CORITIBA,CHAPECOENSE,JOÃO VITOR,3.0
2026-02-17|FLUMINENSE|BOTAFOGO,BOTAFOGO,VILLALBA,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CRUZEIRO,VILLALBA,1.0
2026-03-03|GRÊMIO|ATLÉTICO-MG,GRÊMIO,JEFINHO,1.0
2026-03-03|CRUZEIRO|CORINTHIANS,CRUZEIRO,SINISTERRA,1.0
